대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 송파구 마천동 88-3번지,11710,11400,0,0088,0003,1025122878,1,일반,2,일반건축물,서울특별시 송파구 마천로39길 33 (마천동),,,,,0,117104169100,11401,0,33,0,,0,주건축물,204.4,93.61,45.88,374.44,0,137.66,21,철근콘크리트구조,"철근콘크리트조,세멘트벽돌조",01000,단독주택,"근린생활시설,주택",10,(철근)콘크리트,평스라브,0,1,9.65,3,1,0,0,0,0,374.44,0,0,0,0,0,0,2,23,19900129,19900300,19910524,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-5번지,11710,11400,0,0088,0005,10251100493203,2,집합,3,표제부,서울특별시 송파구 마천로39길 34 (마천동),,,,,0,117104169100,11401,0,34,,,0,주건축물,179,104.47,58.36,354.34,354.34,197.96,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택 및 근린생활시설,10,(철근)콘크리트,평지붕,7,0,16.15,5,0,1,0,0,0,354.34,0,0,0,0,0,0,5,0,20151215,20160421,20161110,2015,3230165,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,1,
서울특별시 송파구 마천동 88-6번지,11710,11400,0,0088,0006,1025117332,1,일반,2,일반건축물,서울특별시 송파구 마천로39길 36 (마천동),,,,,0,117104169100,11401,0,36,0,,0,주건축물,172,85.64,49.79,388.41,0,180.22,21,철근콘크리트구조,"철근콘크리트조,연와조",03000,제1종근린생활시설,"근린생활시설,주택",10,(철근)콘크리트,평스라브,0,1,12,4,1,0,0,0,0,388.41,0,0,0,0,0,0,3,0,19921021,19930904,19940426,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-7번지,11710,11400,0,0088,0007,102519827,1,일반,2,일반건축물,서울특별시 송파구 마천로39길 36-1 (마천동),,,,,0,117104169100,11401,0,36,1,,0,주건축물,0,0,0,223.17,0,0,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,스라브주위기와,0,1,0,2,1,0,0,0,0,223.17,0,0,0,0,0,0,0,0,19890204,        ,19900321,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-8번지,11710,11400,0,0088,0008,10251100473643,2,집합,3,표제부,서울특별시 송파구 마천로39길 38 (마천동),루체빌2,,,,1,117104169100,11401,0,38,,루체빌2,0,주건축물,269,153.5,57.06,537.92,537.92,199.97,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,도시형 생활주택(단지형다세대주택10세대),10,(철근)콘크리트,평스라브,10,0,18.2,6,0,1,0,0,0,537.92,0,0,0,0,8,116.4,0,0,20150603,20150701,20151117,2015,3230165,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,1,
서울특별시 송파구 마천동 88-10번지,11710,11400,0,0088,0010,1025119833,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 48-11 (마천동),,,,,0,117104169111,11401,0,48,11,,0,주건축물,0,0,0,210.12,0,0,11,벽돌구조,연와조,01000,단독주택,다가구용단독주택(5가구),10,(철근)콘크리트,평스라브,0,5,0,2,1,0,0,0,0,210.12,0,0,0,0,0,0,0,0,19900123,        ,19901023,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-11번지,11710,11400,0,0088,0011,1025115028,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 48-7 (마천동),,,,,0,117104169111,11401,0,48,7,,0,주건축물,0,0,0,210.12,0,0,11,벽돌구조,연와조,01000,단독주택,다가구용단독주택(5가구),10,(철근)콘크리트,평스라브,0,5,0,2,1,0,0,0,0,210.12,0,0,0,0,0,0,0,0,19900123,        ,19901023,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-12번지,11710,11400,0,0088,0012,102513518,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 48-5 (마천동),,,,,0,117104169111,11401,0,48,5,,0,주건축물,0,0,0,178.44,0,0,11,벽돌구조,연와조,01000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,0,2,1,0,0,0,0,178.44,0,0,0,0,0,0,0,0,19880222,        ,19880721,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-13번지,11710,11400,0,0088,0013,10251100508742,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 48-8 (마천동),,,,,0,117104169111,11401,0,48,8,,0,주건축물,95,56.8,59.79,150.93,150.93,158.87,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,다가구주택,10,(철근)콘크리트,경사지붕및평지붕,0,2,11.3,3,0,0,0,0,0,150.93,0,0,0,0,0,0,2,23,20170308,20170410,20171107,2017,3230165,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,1,
서울특별시 송파구 마천동 88-18번지,11710,11400,0,0088,0018,10251100503861,2,집합,3,표제부,서울특별시 송파구 마천로39길 38-5 (마천동),인화빌Ⅲ,,,,1,117104169100,11401,0,38,5,,0,주건축물,309.4,184.88,59.754,613.798,613.798,198.383,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10,(철근)콘크리트,평지붕,10,0,14.3,5,0,1,0,0,0,613.798,0,0,0,0,0,0,8,92,20161129,20161214,20170705,2016,3230165,건축과,1101,신축허가,1,,0,0,,0,,0,20220813,1,0.2393616g Ⅵ등급
